"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 16 17:14:38 CST 2023","Thu Nov 16 17:14:52 CST 2023","13608","","test_case_pay","TestLogin","","","test_payment_wash_car_success","测试用例1：洗车->收银台 跳转成功"
"passed","Thu Nov 16 17:14:52 CST 2023","Thu Nov 16 17:15:11 CST 2023","19123","","test_case_pay","TestLogin","","","test_payment_maintenance_success","测试用例2：保养->收银台 跳转成功"
